Selection,Response,Method,fitted_raw,fitted_adjusted,scaled_value,shift_applied,shift_value
17,TOI_sum_min,B-spline,32.21456782722778,32.21456782722778,14.194114459331077,FALSE,0
18,TOI_sum_min,B-spline,30.726250044280764,30.726250044280764,13.538344278700167,FALSE,0
19,TOI_sum_min,B-spline,29.272402693993,29.272402693993,12.897762172894668,FALSE,0
20,TOI_sum_min,B-spline,27.85632043392427,27.85632043392427,12.273819806476974,FALSE,0
21,TOI_sum_min,B-spline,26.481297921634415,26.481297921634415,11.667968844009517,FALSE,0
22,TOI_sum_min,B-spline,25.15062981468325,25.15062981468325,11.081660950054706,FALSE,0
23,TOI_sum_min,B-spline,23.86761077063057,23.86761077063057,10.516347789174954,FALSE,0
24,TOI_sum_min,B-spline,22.63553544703619,22.63553544703619,9.973481025932678,FALSE,0
25,TOI_sum_min,B-spline,21.457698501459937,21.457698501459937,9.45451232489029,FALSE,0
26,TOI_sum_min,B-spline,20.337394591461607,20.337394591461607,8.960893350610204,FALSE,0
27,TOI_sum_min,B-spline,19.27791837460102,19.27791837460102,8.494075767654836,FALSE,0
28,TOI_sum_min,B-spline,18.28256450843799,18.28256450843799,8.0555112405866,FALSE,0
29,TOI_sum_min,B-spline,17.354627650532326,17.354627650532326,7.64665143396791,FALSE,0
30,TOI_sum_min,B-spline,16.497402458443844,16.497402458443844,7.2689480123611805,FALSE,0
31,TOI_sum_min,B-spline,15.713019000094045,15.713019000094045,6.923339508545934,FALSE,0
32,TOI_sum_min,B-spline,14.998948984851127,14.998948984851127,6.608711928170087,FALSE,0
33,TOI_sum_min,B-spline,14.35149953244501,14.35149953244501,6.323438145098682,FALSE,0
34,TOI_sum_min,B-spline,13.766977762605576,13.766977762605576,6.065891033196741,FALSE,0
35,TOI_sum_min,B-spline,13.24169079506273,13.24169079506273,5.834443466329298,FALSE,0
36,TOI_sum_min,B-spline,12.771945749546369,12.771945749546369,5.627468318361382,FALSE,0
37,TOI_sum_min,B-spline,12.35404974578639,12.35404974578639,5.443338463158025,FALSE,0
38,TOI_sum_min,B-spline,11.98430990351269,11.98430990351269,5.280426774584255,FALSE,0
39,TOI_sum_min,B-spline,11.659033342455176,11.659033342455176,5.137106126505107,FALSE,0
40,TOI_sum_min,B-spline,11.374527182343734,11.374527182343734,5.011749392785607,FALSE,0
41,TOI_sum_min,B-spline,11.127098542908271,11.127098542908271,4.902729447290787,FALSE,0
42,TOI_sum_min,B-spline,10.913054543878683,10.913054543878683,4.80841916388568,FALSE,0
43,TOI_sum_min,B-spline,10.728702304984864,10.728702304984864,4.727191416435312,FALSE,0
44,TOI_sum_min,B-spline,10.570348945956711,10.570348945956711,4.657419078804713,FALSE,0
45,TOI_sum_min,B-spline,10.434301586524136,10.434301586524136,4.5974750248589205,FALSE,0
46,TOI_sum_min,B-spline,10.316867346417023,10.316867346417023,4.5457321284629595,FALSE,0
47,TOI_sum_min,B-spline,10.214353345365277,10.214353345365277,4.500563263481861,FALSE,0
48,TOI_sum_min,B-spline,10.12306670309879,10.12306670309879,4.4603413037806545,FALSE,0
49,TOI_sum_min,B-spline,10.039314539347464,10.039314539347464,4.423439123224373,FALSE,0
50,TOI_sum_min,B-spline,9.9594039738412,9.9594039738412,4.388229595678046,FALSE,0
51,TOI_sum_min,B-spline,9.88025977020846,9.88025977020846,4.353357736114987,FALSE,0
52,TOI_sum_min,B-spline,9.8012772676719635,9.8012772676719635,4.318557123941637,FALSE,0
53,TOI_sum_min,B-spline,9.72246944935301,9.72246944935301,4.283833479672726,FALSE,0
54,TOI_sum_min,B-spline,9.643849298372883,9.643849298372883,4.249192523822974,FALSE,0
55,TOI_sum_min,B-spline,9.565429797852875,9.565429797852875,4.214639976907111,FALSE,0
56,TOI_sum_min,B-spline,9.487223930914285,9.487223930914285,4.1801815594398635,FALSE,0
