Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Brett Bulmer,RW,2010,39,0,N/A,0:00,9,0.2,99:17,0,N/A,0:00,5,-0.2,53:27,0,N/A,0:00,3,-0.1,20:09,0,N/A,0:00
Christian Thomas,RW,2010,40,0,N/A,0:00,0,N/A,0:00,1,0.0,12:46,2,-0.1,14:22,18,-0.1,163:43,1,0.0,10:35,0,N/A,0:00
Patrik Nemeth,D,2010,41,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,8,-0.2,110:08,22,0.5,356:38,38,1.0,593:44,40,0.3,631:09
Devante Smith-Pelly,RW,2010,42,0,N/A,0:00,49,1.0,590:09,7,-0.3,62:58,19,1.1,240:13,20,-0.1,265:55,18,2.0,280:24,53,-0.3,715:50
Brad Ross,LW,2010,43,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Sebastian Wannstrom,RW,2010,44,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Ryan Spooner,C,2010,45,0,N/A,0:00,0,N/A,0:00,4,-0.1,36:29,23,0.7,294:38,29,2.3,421:36,80,4.5,1211:17,78,3.7,1099:24
Martin Marincin,D,2010,46,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,44,1.4,843:10,41,1.2,764:31,65,1.8,1090:00,25,1.4,451:11
Tyler Toffoli,C,2010,47,0,N/A,0:00,0,N/A,0:00,10,0.7,119:47,62,4.3,802:09,76,7.4,1108:46,82,9.1,1419:39,63,4.4,1044:54
Curtis Hamilton,LW,2010,48,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,8:01,0,N/A,0:00,0,N/A,0:00
